Start,End,Open,High,Low,Close,Volume,Market Cap
2019-09-25,2019-09-26,8553.728950314,8743.916533712,8270.46193408,8439.846189898,27962840287.761627,151777625351.3917
2019-09-24,2019-09-25,9721.510103694,9792.649520023,8137.460767762,8588.424905857,18185819269.48422,169858875745.69406
2019-09-23,2019-09-24,10038.947939225,10047.495876714,9696.204079567,9719.397018609,13850095066.162455,177708689832.3329
2019-09-22,2019-09-23,10002.150611392,10070.520315857,9876.651282321,10050.187541129,13655833632.90586,179297328412.16043
2019-09-21,2019-09-22,10176.715113783,10180.776817568,9977.084510201,10006.065330833,14315188552.226397,180515815428.18097
2019-09-20,2019-09-21,10238.554568886,10255.158567383,10112.378809418,10179.862230841,17567944594.274727,182649391449.5344
2019-09-19,2019-09-20,10161.163975249,10261.575491477,9781.984662058,10241.608795395,18012950601.274014,179251045171.08243
2019-09-18,2019-09-19,10210.080590801,10252.141471773,10149.693436472,10164.101904869,16142256175.51902,183021470786.67416
2019-09-17,2019-09-18,10273.277521964,10273.277521964,10171.825138418,10208.165817936,15064900672.345423,183477067266.37708
2019-09-16,2019-09-17,10314.929924681,10362.122494313,10147.911922248,10268.657984963,13123396167.392437,184132942454.58536
2019-09-15,2019-09-16,10349.132693446,10368.311044913,10283.331817049,10313.443525982,13739377464.074913,185049550071.33182
2019-09-14,2019-09-15,10344.918397309,10420.200051218,10273.609581183,10353.549798216,13898257971.742422,185336310325.78537
2019-09-13,2019-09-14,10406.999055878,10423.774252107,10193.334896139,10346.599194957,15002494697.63255,184853928592.91904
2019-09-12,2019-09-13,10162.818177255,10430.549285807,10068.621408328,10387.514841215,16347803275.784428,183274307880.49188
2019-09-11,2019-09-12,10124.284797734,10204.342522115,9973.087326473,10159.720473324,16657146339.07356,180807127018.6094
2019-09-10,2019-09-11,10315.926502809,10382.489398557,10012.012964927,10132.544804558,16619929905.641602,183526062902.31128
2019-09-09,2019-09-10,10408.890179822,10442.761181904,10135.676890092,10322.057607889,16277428930.513926,184736473130.574
2019-09-08,2019-09-09,10470.341080022,10572.520355028,10326.63608395,10410.187644035,15786963429.021881,187264486279.91238
2019-09-07,2019-09-08,10317.832833801,10530.94637342,10315.228697326,10477.09483846,18960923057.328537,186536515428.10373
2019-09-06,2019-09-07,10571.991889067,10887.874248649,10259.589238372,10339.455631575,17760403181.52739,190657927928.42987
2019-09-05,2019-09-06,10570.598941629,10624.40247301,10503.866101465,10574.499542005,17860080129.882195,189126102007.85504
2019-09-04,2019-09-05,10586.04148713,10766.860351048,10405.045697122,10578.320209569,19392131163.912285,188799911262.20334
2019-09-03,2019-09-04,10328.873207893,10727.327767091,10279.704140115,10603.095462993,20169687097.327747,187860020689.78482
2019-09-02,2019-09-03,9719.55538852,10399.885655126,9716.073542907,10329.859051573,14047005764.704762,177459251390.57132
2019-09-01,2019-09-02,9607.181476079,9759.435329023,9566.21839372,9716.721909689,11427639953.94762,172254201107.54727
2019-08-31,2019-09-01,9588.047563456,9657.900632341,9501.605978464,9609.787647368,14425731109.635721,171856003557.7627
2019-08-30,2019-08-31,9499.878802461,9640.946925267,9409.399993687,9582.255357778,16140852543.130259,170986758435.61533
2019-08-29,2019-08-30,9755.839219581,9755.839219581,9388.612159252,9493.755389208,20617835157.97794,170781616904.1692
2019-08-28,2019-08-29,10206.418979658,10270.522244933,9691.87712645,9759.791528413,15221292001.698517,180347288043.66742
2019-08-27,2019-08-28,10380.720316627,10380.720316627,10090.229211494,10219.413373246,15703309765.26789,182666211658.72702
2019-08-26,2019-08-27,10150.617721237,10556.072515752,10150.617721237,10374.876617245,17164867544.50236,185281273462.90515
2019-08-25,2019-08-26,10139.413036233,10298.296110663,10003.483494941,10118.399575204,13517731620.799112,180917502361.7454
2019-08-24,2019-08-25,10386.458808456,10407.503090549,9968.718089627,10142.839395055,14449223409.742449,181795346782.3203
2019-08-23,2019-08-24,10115.150897679,10424.055968006,10069.597527933,10385.507551618,14653621441.902025,183367873248.49023
2019-08-22,2019-08-23,10147.419290931,10220.768871332,9832.56349227,10123.994480368,18756324937.27356,179938291297.75632
2019-08-21,2019-08-22,10748.78989426,10780.265168196,9975.001333944,10136.964618751,17688173022.493256,182894420393.33017
2019-08-20,2019-08-21,10894.113749809,10916.488030507,10594.412772425,10751.857323258,15784606737.051598,192225868734.98862
2019-08-19,2019-08-20,10330.503755368,10890.253796002,10291.536183267,10890.253796002,15091312056.436798,189622166832.67706
2019-08-18,2019-08-19,10227.398309843,10474.365680379,10117.358356191,10331.467108077,14018174108.292109,184164214026.73282
2019-08-17,2019-08-18,10342.093377563,10450.078170007,10076.206821184,10220.070168212,17156270391.706024,184241890705.49374
2019-08-16,2019-08-17,10300.390060704,10501.672200434,9811.905850079,10344.507989693,22782309789.56091,182935795751.69363
2019-08-15,2019-08-16,10053.512703227,10430.674821805,9615.26388667,10296.600266166,24657040358.120068,179480190849.18665
2019-08-14,2019-08-15,10901.105749904,10901.105749904,10008.252864913,10010.249937915,20326697833.9406,187639098880.049
2019-08-13,2019-08-14,11405.017740566,11439.047665036,10839.200782979,10920.980312582,14728525095.55085,199884839392.53842
2019-08-12,2019-08-13,11570.902065919,11570.902065919,11334.786964253,11398.762190123,14849455069.266504,203969965665.3656
